STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1975-10,0,0,27,0,83,5.88,0,54,64.4,43.7
TROY LOCK AND DAM NY,1975-11,1,0,26,1,83,3.3,1,45.8,55.4,36.1
TROY LOCK AND DAM NY,1975-12,12,0,-5,7,61,2.12,13,25.8,35.5,16.2
TROY LOCK AND DAM NY,1976-01,18,0,-15,6,54,3.4,10,16.9,28.4,5.4
TROY LOCK AND DAM NY,1976-02,6,0,3,2,65,2.7,3,30.2,41.2,19.2
TROY LOCK AND DAM NY,1976-03,4,0,14,9,75,3.65,12,36.9,47.8,25.9
TROY LOCK AND DAM NY,1976-04,0,0,23,0,89,3.27,0,49.7,60.6,38.9
TROY LOCK AND DAM NY,1976-07,0,0,54,0,89,5,0,70.2,80,60.3
TROY LOCK AND DAM NY,1976-10,0,0,24,0,77,5.2,0,47.2,57.5,36.9
TROY LOCK AND DAM NY,1976-12,16,0,1,1.5,50,0.53,6.5,22.4,31.5,13.2
TROY LOCK AND DAM NY,1977-01,23,0,-7,3,36,1.25,17,15.9,26.1,5.6
TROY LOCK AND DAM NY,1977-02,13,0,0,10,52,2.55,14,24.6,33.4,15.9
TROY LOCK AND DAM NY,1977-03,0,0,13,5,86,6.15,7,39.3,49.5,29
TROY LOCK AND DAM NY,1977-04,0,0,20,0,83,3.61,0,47.9,59.1,36.8
TROY LOCK AND DAM NY,1977-05,0,0,30,0,89,2.48,0,61.1,74.7,47.6
TROY LOCK AND DAM NY,1977-07,0,7,49,0,97,1.86,0,72.7,84.4,60.9
TROY LOCK AND DAM NY,1977-08,0,4,42,0,94,5.07,0,69.7,81,58.4
TROY LOCK AND DAM NY,1977-11,0,0,21,0.2,73,4,0.2,43.5,51.9,35.1
TROY LOCK AND DAM NY,1977-12,11,0,-2,8,49,3.13,8.7,26.5,34.2,18.9
TROY LOCK AND DAM NY,1978-02,,,-5,10,,0.34,11,,,8.2
TROY LOCK AND DAM NY,1978-03,8,0,9,1,59,1.8,1,30.4,39.2,21.5
TROY LOCK AND DAM NY,1978-04,0,0,23,0,69,1.68,0,43.5,53.5,33.5
TROY LOCK AND DAM NY,1978-05,0,1,31,0,90,1.88,0,59.6,70.6,48.7
TROY LOCK AND DAM NY,1978-06,0,0,45,0,89,5.73,0,67.2,78.7,55.7
TROY LOCK AND DAM NY,1978-07,0,8,49,0,96,2.15,0,72,84.4,59.5
TROY LOCK AND DAM NY,1978-10,0,0,21,0,73,4.22,0,48.8,60.2,37.5
TROY LOCK AND DAM NY,1978-11,3,0,15,1,69,0.7,1,40.2,50.5,29.9
TROY LOCK AND DAM NY,1978-12,7,0,4,9,55,2.52,14.8,29.8,38.9,20.7
TROY LOCK AND DAM NY,1979-01,15,0,-12,5,58,6.78,13,23.1,32.4,13.9
TROY LOCK AND DAM NY,1979-02,21,0,-17,2,43,,2,13.4,22.4,4.4
TROY LOCK AND DAM NY,1979-03,1,0,14,0.2,72,1.87,0.2,38.7,48.5,28.8
TROY LOCK AND DAM NY,1979-06,0,1,42,0,91,0.36,0,66.8,78.2,55.5
TROY LOCK AND DAM NY,1979-07,0,8,47,0,96,3.04,0,74.1,84.8,63.4
TROY LOCK AND DAM NY,1979-08,0,3,40,0,91,2.41,0,70.5,81.2,59.8
TROY LOCK AND DAM NY,1979-09,0,0,35,0,86,3.57,0,62.3,75,49.6
TROY LOCK AND DAM NY,1979-10,0,0,28,0,86,3.76,0,51.3,60.7,41.9
TROY LOCK AND DAM NY,1979-12,5,0,5,3,62,0.83,3,32.5,40.8,24.2
